experiment_id,model_name,label,group,proposed,protocol,image_size,batch_size,learning_rate,epochs_run,best_epoch,training_time_s,total_parameters,model_size_mb,val_accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,test_top3_accuracy,test_top5_accuracy,test_roc_auc_macro_ovr,test_ece,inference_ms_per_image,checkpoint
classical__random_forest__train_bench,random_forest,Random Forest (hand-crafted features),classical,False,classical,96,,,,,75.95,,0.0,,0.9052631578947369,0.9068206557440056,0.9052631578947368,0.9036919851715962,0.9036919851715961,0.9765350877192982,0.9875,0.9967589546783626,,0.08638894736848893,
classical__xgboost__train_bench,xgboost,XGBoost (hand-crafted features),classical,False,classical,96,,,,,891.55,,0.0,,0.9307017543859649,0.9309469760414215,0.9307017543859649,0.9301726864148344,0.9301726864148345,0.9885964912280701,0.9956140350877193,0.9988292239608029,,0.04712300438577107,
cnn_cbam__prod__080f583f,cnn_cbam,Custom CNN + CBAM,benchmark,True,production,224,32,0.0003,6,6,6267.57,1260174,4.815,0.9857752489331437,0.9842362849988618,0.9844769680711472,0.9841675098912279,0.9841949284592842,0.9842076768033954,0.998975643068518,0.9997723651263374,0.9999443615969851,0.02447734909263993,7.410885000354028,D:\Data science projects\Plant disease detection\models\checkpoints\cnn_cbam__prod__080f583f.pt
efficientnet_b0_cbam__prod__1e6ba679,efficientnet_b0_cbam,EfficientNet-B0 + CBAM,benchmark,True,production,224,16,0.0003,6,6,3778.62,4261124,16.416,0.990896159317212,0.9899840655588437,0.9900446145513997,0.9898146450789774,0.9898100010699992,0.9899261362041879,0.9993740040974277,0.9997723651263374,0.9999675323526831,0.050003857355019506,13.16981250004119,D:\Data science projects\Plant disease detection\models\checkpoints\efficientnet_b0_cbam__prod__1e6ba679.pt
efficientnet_b0__prod__9a259f82,efficientnet_b0,EfficientNet-B0,benchmark,False,production,224,16,0.0003,6,6,3463.12,4056226,15.634,0.9918918918918919,0.9905531527430003,0.9905852078305117,0.9903743597134242,0.990374410917501,0.9905046027089034,0.9994309128158434,0.9998292738447531,0.9999694616737715,0.050042548241259505,18.50293000002239,D:\Data science projects\Plant disease detection\models\checkpoints\efficientnet_b0__prod__9a259f82.pt
place_cbam_last2__prod__a300cf2a,place_cbam_last2,CBAM on last two stages,placement,False,production,224,32,0.0003,6,6,10258.73,1259210,4.811,0.9877667140825036,0.9881060778511268,0.9880795388410707,0.9880741101384085,0.9880308957593098,0.9880704197031795,0.9993740040974277,0.9997154564079217,0.9999543470204245,0.02748673138879254,4.180795000320359,D:\Data science projects\Plant disease detection\models\checkpoints\place_cbam_last2__prod__a300cf2a.pt
cnn_cbam__tune__bfc22c43,cnn_cbam,Custom CNN + CBAM (tuning trial 1),tuning,False,tuning,160,32,0.001,8,8,840.09,,0.0,0.9649122807017544,,,,,,,,,,,
cnn_cbam__tune__6e4108fe,cnn_cbam,Custom CNN + CBAM (tuning trial 2),tuning,False,tuning,160,32,0.001,8,8,716.85,,0.0,0.9587719298245614,,,,,,,,,,,
cnn_cbam__tune__e3a898de,cnn_cbam,Custom CNN + CBAM (tuning trial 3),tuning,False,tuning,160,32,0.0001,8,8,728.14,,0.0,0.8995614035087719,,,,,,,,,,,
cnn_cbam__tune__b5a21636,cnn_cbam,Custom CNN + CBAM (tuning trial 4),tuning,False,tuning,160,32,0.001,8,8,712.83,,0.0,0.9592105263157895,,,,,,,,,,,
cnn_cbam__tune__9868cc42,cnn_cbam,Custom CNN + CBAM (tuning trial 5),tuning,False,tuning,160,32,0.0001,8,8,717.01,,0.0,0.900438596491228,,,,,,,,,,,
cnn_cbam__tune__4594c351,cnn_cbam,Custom CNN + CBAM (tuning trial 6),tuning,False,tuning,160,32,0.001,8,8,720.67,,0.0,0.9425438596491228,,,,,,,,,,,
